p1,,p2,,p3,,p4,,p5,,p6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
67.15976331360946,89.6717583608158,-54.43786982248521,41.46893193480409,-4.142011834319547,48.50999488052577,-26.331360946745576,40.14858381055565,-98.52071005917162,54.92600573857345,-36.094674556213036,42.40115247699214
61.242603550295826,71.58691795744886,-50.88757396449705,45.07637541223674,2.366863905325431,44.66086459585918,-1.1834319526627155,58.55845129951307,-89.94082840236689,57.50717321681568,-30.17751479289943,50.82804519424238
50.59171597633136,61.56941649899399,-50.000000000000014,47.88970509447216,6.804733727810628,37.600752443656035,5.917159763313606,53.298489159810956,-76.92307692307693,59.86927482052075,-25.147928994082847,56.039193742335684
48.2248520710059,57.35358898955867,-13.609467455621314,70.88209731763362,10.355029585798803,35.17197861726574,10.650887573964496,51.26736751872181,-69.82248520710061,64.06605312347457,-18.639053254437883,60.64076768302122
42.89940828402365,56.36898312954653,-3.550295857988175,79.29232197921257,14.201183431952671,32.33959972854882,17.455621301775125,49.227911849797025,-61.834319526627226,65.4423582917624,-10.94674556213019,63.22550688747873
37.5739644970414,54.579548295691325,0,81.2901075089591,17.751479289940818,33.733763527913055,22.189349112426015,52.42817853868776,-44.08284023668641,72.61438453204434,-4.142011834319547,62.192087435857765
33.43195266272187,52.18172942983345,2.9585798816567888,88.72286976295645,21.301775147928964,30.09774624075817,28.10650887573962,49.5874656221352,-31.065088757396467,73.9704499184456,13.017751479289927,53.06870810662794
21.597633136094657,53.63780315026254,4.437869822485197,90.3265748336171,26.035502958579855,30.88352600811973,35.79881656804733,48.95288893122047,-20.41420118343197,77.34811234269523,28.69822485207098,49.182669984403475
16.863905325443767,55.26651030443014,9.46745562130178,77.83148595716311,30.769230769230745,36.498279618539655,,,-7.100591715976336,77.89815817984834,33.72781065088756,48.76001571559537
8.284023668639037,58.72156013001084,14.497041420118336,74.79313752336506,36.39053254437869,44.72515566773424,,,-2.3668639053254594,79.48876692105296,,
2.366863905325431,63.77555272463183,20.414201183431942,70.94638838950866,40.236686390532526,44.70967818746803,,,2.366863905325431,72.22625694998393,,
-1.1834319526627155,68.82002071601207,26.331360946745548,71.32499136832833,44.97041420118342,50.12322455442718,,,8.284023668639037,72.0012381984213,,
-11.538461538461561,63.22788803828892,31.95266272189349,69.89391973140621,,,,,13.905325443786978,69.16171585727383,,
-18.93491124260356,60.84316550188707,,,,,,,21.597633136094657,66.51506673175149,,
-26.035502958579883,55.640350981629425,,,,,,,39.6449704142012,60.00380984129632,,
-31.952662721893503,54.65812627242747,,,,,,,50.59171597633136,62.17303822937628,,
-44.08284023668641,47.865893586370305,,,,,,,60.94674556213019,62.131368090198016,,
