p1,,p2,,p3,,p4,,p5,,p6,,p7,,p8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-38.29783950617282,40.00750958819741,53.90895061728398,41.60670893871951,95.57561728395063,23.686577923350384,98.46913580246917,24.35582710450433,-1.2608024691357684,24.559663783208734,95.57561728395063,36.94033621679121,-16.114197530864175,31.053567929229274,-6.276234567901213,42.90846420872876
-35.4043209876543,42.64513871392175,30.567901234567927,27.59096889784719,82.26543209876547,20.083130371490128,61.046296296296305,22.742630385487487,8.191358024691368,25.52110803169002,89.98148148148152,34.29045939363397,-6.469135802469111,32.80323899106966,-2.0324074074073906,43.846287897875186
-27.88117283950615,45.17253856275018,-1.4537037037036669,41.09318048206936,68.76234567901236,21.596595839982044,48.89351851851856,25.04957168052404,20.15123456790127,24.263094538226795,84.00154320987659,35.57559278855574,-2.611111111111086,35.44524229444863,29.21759259259261,29.553224993701164
-3.189814814814781,48.95882674057276,,,42.141975308642,21.607093866353097,39.2484567901235,25.26828056325408,27.674382716049422,23.247410486828457,74.74228395061732,33.302770079225084,1.2469135802469395,37.824794938551534,36.54783950617286,44.67738165224935
5.297839506172863,50.04712214103746,,,23.816358024691397,20.867857842725556,24.973765432098787,25.99089471179417,44.64969135802471,33.55997172531562,63.55401234567904,30.889973684947194,4.9120370370370665,36.397938187620696,38.09104938271608,50.45829484056995
23.62345679012347,36.74524789339601,,,4.719135802469168,23.01207972901092,19.765432098765444,27.804428767391713,64.51851851851856,44.93545813387081,51.20833333333337,31.75256151843452,8.191358024691368,33.52585313960974,,
42.141975308642,31.973894907757327,,,1.439814814814838,26.802742084488102,15.907407407407419,29.755312001343725,,,26.9027777777778,32.429684219366735,15.907407407407419,31.98614260519021,,
57.76697530864203,31.782305926485805,,,-0.6820987654320732,28.892724167856414,11.470679012345698,30.916218750874805,,,-1.6466049382715937,41.22353097617646,27.86728395061732,47.918647294308656,,
81.49382716049385,33.59583998208335,,,-5.118827160493794,27.69157498390301,2.7901234567901554,29.433372525965098,,,-4.925925925925895,39.50272948685645,,,,
99.04783950617286,46.010631001371706,,,,,-2.225308641975289,27.704697516866815,,,-7.626543209876502,36.99720052630103,,,,
,,,,,,,,,,-12.063271604938222,36.583403320175776,,,,
