p1,,p2,,p3,,p4,,p5,,p6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-58.20601499949328,46.401515151515156,62.99510925869623,81.83396464646465,55.38829628503544,64.34132996632997,86.13094081844082,55.00315656565657,64.61298112113332,44.74431818181817,39.85839794263708,50.53135521885521
-53.096918178439935,46.24368686868688,52.24404721687333,50.13678451178451,49.565189239102295,59.34343434343434,81.47571028005814,51.97811447811448,62.49232852493722,47.24326599326599,34.44437758296456,52.10963804713805
-45.42561906692342,48.29545454545455,21.642163693794146,43.69212962962963,32.87269292704076,45.138888888888886,77.20317373849983,47.63783670033669,56.100019143497434,45.664983164983155,23.012384153688515,48.29545454545455
-31.720423296510248,48.92676767676768,15.064225729986617,44.481271043771045,26.479063911129145,43.166035353535364,63.260795665687,45.533459595959584,42.52054055043189,36.32680976430976,18.70685675033502,34.09090909090908
-26.135730211817176,52.08333333333333,10.22820526896615,45.27041245791246,16.989132546197794,41.324705387205384,57.84501579338536,46.58564814814815,29.94310439962615,37.24747474747474,13.867317264056425,33.82786195286195
-15.211268200398635,54.608585858585855,7.52779326148891,48.032407407407405,12.732871496458444,41.85079966329967,52.809290648964605,45.533459595959584,21.03689134939134,36.32680976430976,7.099791814465732,35.80071548821549
-10.098476402824218,55.55555555555556,-1.3705019819150266,49.47916666666666,6.160212070538165,44.2182239057239,37.32030097519228,43.955176767676775,13.684327950632309,36.9844276094276,2.261132084501668,35.80071548821549
-6.139045133610352,58.869949494949495,-5.054041670889518,47.63783670033669,2.492068117068129,46.98021885521885,27.052225150051243,40.930134680134685,3.4347270080965586,39.48337542087542,,
-1.0325875815006498,57.9229797979798,-7.771608926500221,45.27041245791246,-1.381059057689498,46.32260101010101,21.82251373827461,39.746422558922546,-3.7225304888348205,40.66708754208754,,
10.97080757406846,35.82702020202019,,,-4.482639944596457,44.875841750841744,14.273764681373393,39.61489898989899,,,,
-13.352167156514994,54.92424242424242,,,,,9.247276978255258,41.324705387205384,,,,
-7.311408398364932,55.55555555555556,,,,,1.7112843879148443,45.007365319865315,,,,
4.9949748319313585,43.03451178451179,,,,,-3.9068394367307064,43.42908249158249,,,,
16.37726202943594,31.986531986531986,,,,,,,,,,
21.211522977827343,30.67129629629629,,,,,,,,,,
27.210141408510992,30.27672558922559,,,,,,,,,,
34.178691175973796,30.53977272727272,,,,,,,,,,
35.352286099568715,34.22243265993265,,,,,,,,,,
40.21205998108175,40.53556397306397,,,,,,,,,,
42.74091950722388,44.349747474747474,,,,,,,,,,
43.921112603177846,50.00526094276094,,,,,,,,,,
