p1,,p2,,p3,,p4,,p5,,p6,,p7,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-33.868440781292776,36.61670235546036,-95.78232529325413,58.56531049250533,-98.89499414165083,48.39400428265523,23.14721290722261,72.30549607423268,25.5853860001167,46.966452533904345,23.503539699854997,42.326909350463936,-2.4471514057793513,44.64668094218415
-9.517011658339285,42.862241256245525,-92.1163679133054,59.457530335474644,-89.72533096305872,49.107780157030675,20.008731409280898,70.3426124197002,20.1041259836864,40.00713775874374,19.057030243446945,39.65024982155602,-9.253273717335773,42.326909350463936
-2.193514066771712,47.32334047109207,-79.02037628109301,61.59885795860098,-81.87042947759684,51.24910778015702,18.19286762824396,64.45396145610277,13.016870249911364,43.75446109921482,16.691244798189985,41.970021413276214,6.448673229813409,49.107780157030675
5.379692851916218,55.71020699500355,-66.18363343344151,62.847965738758006,-77.41213598552694,50.17844396859384,14.820388850731064,53.568879371877216,3.5700016609878844,47.85867237687364,13.271629878029643,46.07423269093502,19.031778738457234,47.68022840827979
12.733492249471396,50.535331905781575,-63.04234621272316,63.91862955032118,-70.08639381573806,53.92576730906494,12.47256003124454,50.17844396859384,1.9825237139689307,52.676659528907905,9.321733353085648,52.141327623126315,25.593242023891293,44.46823697359028
18.77084652023038,47.32334047109207,-50.99737833263751,66.95217701641683,-51.23418133498534,58.922198429693054,4.626636858667894,45.18201284796572,-6.669764184612063,54.10421127765879,1.7086851709695168,56.423982869378996,-33.343770622062394,36.43825838686651
25.593242023891293,44.46823697359028,-41.565660646707855,67.66595289079228,-43.12788708873714,64.45396145610277,-0.8910975538586285,49.82155603140612,,,-2.4735251998797025,53.03354746609563,,
,,-33.71356488402263,70.69950035688791,-36.58269699540759,66.41684511063525,,,,,,,,
,,-27.946682288931086,70.16416845110633,-25.05678782899905,67.84439685938614,,,,,,,,
,,-21.399247617380198,71.41327623126337,-5.415044958901774,71.77016416845109,,,,,,,,
,,-16.686755641747354,72.84082798001425,-1.7462818561764095,71.77016416845109,,,,,,,,
,,-12.49612810256825,73.55460385438971,4.554810355586085,68.02284082797999,,,,,,,,
,,-2.5475962811827912,76.58815132048535,11.10841761724555,67.30906495360455,,,,,,,,
,,5.857788013054488,70.3426124197002,16.101481870541704,62.847965738758006,,,,,,,,
,,13.738502148061372,64.27551748750889,21.871731332965254,61.24197002141325,,,,,,,,
,,19.512679622372133,61.42041399000712,,,,,,,,,,
